base_currency,currency,exchange_rate,retrieved_at
USD,USD,1.0,2026-07-22 00:02:31+00:00
USD,AED,3.6725,2026-07-22 00:02:31+00:00
USD,AFN,66.297576,2026-07-22 00:02:31+00:00
USD,ALL,82.088135,2026-07-22 00:02:31+00:00
USD,AMD,366.257897,2026-07-22 00:02:31+00:00
USD,ANG,1.79,2026-07-22 00:02:31+00:00
USD,AOA,929.484375,2026-07-22 00:02:31+00:00
USD,ARS,1477.7,2026-07-22 00:02:31+00:00
USD,AUD,1.428082,2026-07-22 00:02:31+00:00
USD,AWG,1.79,2026-07-22 00:02:31+00:00
USD,AZN,1.700145,2026-07-22 00:02:31+00:00
USD,BAM,1.714692,2026-07-22 00:02:31+00:00
USD,BBD,2.0,2026-07-22 00:02:31+00:00
USD,BDT,123.355712,2026-07-22 00:02:31+00:00
USD,BGN,1.714692,2026-07-22 00:02:31+00:00
USD,BHD,0.376,2026-07-22 00:02:31+00:00
USD,BIF,2992.937831,2026-07-22 00:02:31+00:00
USD,BMD,1.0,2026-07-22 00:02:31+00:00
USD,BND,1.291586,2026-07-22 00:02:31+00:00
USD,BOB,10.775878,2026-07-22 00:02:31+00:00
USD,BRL,5.077823,2026-07-22 00:02:31+00:00
USD,BSD,1.0,2026-07-22 00:02:31+00:00
USD,BTN,96.337696,2026-07-22 00:02:31+00:00
USD,BWP,14.390566,2026-07-22 00:02:31+00:00
USD,BYN,2.889388,2026-07-22 00:02:31+00:00
USD,BZD,2.0,2026-07-22 00:02:31+00:00
USD,CAD,1.409459,2026-07-22 00:02:31+00:00
USD,CDF,2277.763814,2026-07-22 00:02:31+00:00
USD,CHF,0.812218,2026-07-22 00:02:31+00:00
USD,CLF,0.023647,2026-07-22 00:02:31+00:00
USD,CLP,934.68866,2026-07-22 00:02:31+00:00
USD,CNH,6.767975,2026-07-22 00:02:31+00:00
USD,CNY,6.776686,2026-07-22 00:02:31+00:00
USD,COP,3250.798233,2026-07-22 00:02:31+00:00
USD,CRC,454.027923,2026-07-22 00:02:31+00:00
USD,CUP,24.0,2026-07-22 00:02:31+00:00
USD,CVE,96.670222,2026-07-22 00:02:31+00:00
USD,CZK,21.205386,2026-07-22 00:02:31+00:00
USD,DJF,177.721,2026-07-22 00:02:31+00:00
USD,DKK,6.542063,2026-07-22 00:02:31+00:00
USD,DOP,58.487939,2026-07-22 00:02:31+00:00
USD,DZD,133.229912,2026-07-22 00:02:31+00:00
USD,EGP,51.008475,2026-07-22 00:02:31+00:00
USD,ERN,15.0,2026-07-22 00:02:31+00:00
USD,ETB,160.33367,2026-07-22 00:02:31+00:00
USD,EUR,0.876691,2026-07-22 00:02:31+00:00
USD,FJD,2.22223,2026-07-22 00:02:31+00:00
USD,FKP,0.747079,2026-07-22 00:02:31+00:00
USD,FOK,6.542109,2026-07-22 00:02:31+00:00
USD,GBP,0.747063,2026-07-22 00:02:31+00:00
USD,GEL,2.627584,2026-07-22 00:02:31+00:00
USD,GGP,0.747079,2026-07-22 00:02:31+00:00
USD,GHS,11.594989,2026-07-22 00:02:31+00:00
USD,GIP,0.747079,2026-07-22 00:02:31+00:00
USD,GMD,74.412388,2026-07-22 00:02:31+00:00
USD,GNF,8782.205095,2026-07-22 00:02:31+00:00
USD,GTQ,7.631616,2026-07-22 00:02:31+00:00
USD,GYD,209.179097,2026-07-22 00:02:31+00:00
USD,HKD,7.842023,2026-07-22 00:02:31+00:00
USD,HNL,26.799781,2026-07-22 00:02:31+00:00
USD,HRK,6.605557,2026-07-22 00:02:31+00:00
USD,HTG,130.667411,2026-07-22 00:02:31+00:00
USD,HUF,316.957688,2026-07-22 00:02:31+00:00
USD,IDR,17905.298943,2026-07-22 00:02:31+00:00
USD,ILS,3.048643,2026-07-22 00:02:31+00:00
USD,IMP,0.747079,2026-07-22 00:02:31+00:00
USD,INR,96.339012,2026-07-22 00:02:31+00:00
USD,IQD,1309.378705,2026-07-22 00:02:31+00:00
USD,IRR,1353382.13832,2026-07-22 00:02:31+00:00
USD,ISK,125.226659,2026-07-22 00:02:31+00:00
USD,JEP,0.747079,2026-07-22 00:02:31+00:00
USD,JMD,158.627294,2026-07-22 00:02:31+00:00
USD,JOD,0.709,2026-07-22 00:02:31+00:00
USD,JPY,163.013007,2026-07-22 00:02:31+00:00
USD,KES,129.382422,2026-07-22 00:02:31+00:00
USD,KGS,87.451377,2026-07-22 00:02:31+00:00
USD,KHR,4048.568017,2026-07-22 00:02:31+00:00
USD,KID,1.42808,2026-07-22 00:02:31+00:00
USD,KMF,431.312127,2026-07-22 00:02:31+00:00
USD,KRW,1480.020746,2026-07-22 00:02:31+00:00
USD,KWD,0.309775,2026-07-22 00:02:31+00:00
USD,KYD,0.833333,2026-07-22 00:02:31+00:00
USD,KZT,468.495614,2026-07-22 00:02:31+00:00
USD,LAK,22431.530479,2026-07-22 00:02:31+00:00
USD,LBP,89500.0,2026-07-22 00:02:31+00:00
USD,LKR,336.190656,2026-07-22 00:02:31+00:00
USD,LRD,181.167029,2026-07-22 00:02:31+00:00
USD,LSL,16.461323,2026-07-22 00:02:31+00:00
USD,LYD,6.393734,2026-07-22 00:02:31+00:00
USD,MAD,9.378687,2026-07-22 00:02:31+00:00
USD,MDL,17.567872,2026-07-22 00:02:31+00:00
USD,MGA,4314.993562,2026-07-22 00:02:31+00:00
USD,MKD,53.842037,2026-07-22 00:02:31+00:00
USD,MMK,2102.646218,2026-07-22 00:02:31+00:00
USD,MNT,3607.087356,2026-07-22 00:02:31+00:00
USD,MOP,8.077185,2026-07-22 00:02:31+00:00
USD,MRU,40.059953,2026-07-22 00:02:31+00:00
USD,MUR,47.220323,2026-07-22 00:02:31+00:00
USD,MVR,15.448708,2026-07-22 00:02:31+00:00
USD,MWK,1745.497087,2026-07-22 00:02:31+00:00
USD,MXN,17.404263,2026-07-22 00:02:31+00:00
USD,MYR,4.088918,2026-07-22 00:02:31+00:00
USD,MZN,63.562138,2026-07-22 00:02:31+00:00
USD,NAD,16.461323,2026-07-22 00:02:31+00:00
USD,NGN,1377.172985,2026-07-22 00:02:31+00:00
USD,NIO,36.821579,2026-07-22 00:02:31+00:00
USD,NOK,9.633253,2026-07-22 00:02:31+00:00
USD,NPR,154.140313,2026-07-22 00:02:31+00:00
USD,NZD,1.715316,2026-07-22 00:02:31+00:00
USD,OMR,0.384497,2026-07-22 00:02:31+00:00
USD,PAB,1.0,2026-07-22 00:02:31+00:00
USD,PEN,3.397041,2026-07-22 00:02:31+00:00
USD,PGK,4.47379,2026-07-22 00:02:31+00:00
USD,PHP,61.778739,2026-07-22 00:02:31+00:00
USD,PKR,278.003,2026-07-22 00:02:31+00:00
USD,PLN,3.794625,2026-07-22 00:02:31+00:00
USD,PYG,6055.67788,2026-07-22 00:02:31+00:00
USD,QAR,3.64,2026-07-22 00:02:31+00:00
USD,RON,4.588323,2026-07-22 00:02:31+00:00
USD,RSD,102.780119,2026-07-22 00:02:31+00:00
USD,RUB,78.486585,2026-07-22 00:02:31+00:00
USD,RWF,1471.350212,2026-07-22 00:02:31+00:00
USD,SAR,3.75,2026-07-22 00:02:31+00:00
USD,SBD,7.96279,2026-07-22 00:02:31+00:00
USD,SCR,14.000401,2026-07-22 00:02:31+00:00
USD,SDG,449.443084,2026-07-22 00:02:31+00:00
USD,SEK,9.699263,2026-07-22 00:02:31+00:00
USD,SGD,1.291588,2026-07-22 00:02:31+00:00
USD,SHP,0.747079,2026-07-22 00:02:31+00:00
USD,SLE,24.357914,2026-07-22 00:02:31+00:00
USD,SLL,24357.91394,2026-07-22 00:02:31+00:00
USD,SOS,571.930366,2026-07-22 00:02:31+00:00
USD,SRD,37.751053,2026-07-22 00:02:31+00:00
USD,SSP,4850.71167,2026-07-22 00:02:31+00:00
USD,STN,21.479349,2026-07-22 00:02:31+00:00
USD,SYP,121.76991,2026-07-22 00:02:31+00:00
USD,SZL,16.461323,2026-07-22 00:02:31+00:00
USD,THB,33.69783,2026-07-22 00:02:31+00:00
USD,TJS,9.238437,2026-07-22 00:02:31+00:00
USD,TMT,3.499985,2026-07-22 00:02:31+00:00
USD,TND,2.947032,2026-07-22 00:02:31+00:00
USD,TOP,2.38493,2026-07-22 00:02:31+00:00
USD,TRY,47.203836,2026-07-22 00:02:31+00:00
USD,TTD,6.768211,2026-07-22 00:02:31+00:00
USD,TVD,1.42808,2026-07-22 00:02:31+00:00
USD,TWD,32.34328,2026-07-22 00:02:31+00:00
USD,TZS,2628.102311,2026-07-22 00:02:31+00:00
USD,UAH,44.775914,2026-07-22 00:02:31+00:00
USD,UGX,3692.47881,2026-07-22 00:02:31+00:00
USD,UYU,40.270807,2026-07-22 00:02:31+00:00
USD,UZS,11930.641883,2026-07-22 00:02:31+00:00
USD,VES,737.2321,2026-07-22 00:02:31+00:00
USD,VND,26238.632049,2026-07-22 00:02:31+00:00
USD,VUV,118.972771,2026-07-22 00:02:31+00:00
USD,WST,2.706612,2026-07-22 00:02:31+00:00
USD,XAF,575.082836,2026-07-22 00:02:31+00:00
USD,XCD,2.7,2026-07-22 00:02:31+00:00
USD,XCG,1.79,2026-07-22 00:02:31+00:00
USD,XDR,0.7357,2026-07-22 00:02:31+00:00
USD,XOF,575.082836,2026-07-22 00:02:31+00:00
USD,XPF,104.619335,2026-07-22 00:02:31+00:00
USD,YER,238.142523,2026-07-22 00:02:31+00:00
USD,ZAR,16.461425,2026-07-22 00:02:31+00:00
USD,ZMW,18.372644,2026-07-22 00:02:31+00:00
USD,ZWG,26.7962,2026-07-22 00:02:31+00:00
USD,ZWL,26.7962,2026-07-22 00:02:31+00:00
